,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat111,cat114,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14
0,2048,0.0001,32,CONTROL,,157537,,,0.0025201402604579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2048,0.0001,32,GMC,2624960.0,426241,0.27693352,0.0035714139230549,0.0026081905234605,0.5,0.5733392270775448,0.5,0.5,0.5,0.5,0.5,0.5,0.5264705882352941,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5217080909571655,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3481012658227848,0.25,0.5,0.5,0.3333333333333333,0.2,0.3333333333333333,0.25,0.2,0.4060287751464222,0.2,0.2638090895272838,0.2053097345132743,0.2457052441229656,0.0649350649350649,0.09171759804862,0.25,0.1428571428571428,0.1450213552623191,0.2023630907726931,0.0853180100217194,0.0769230769230769,0.1,0.1428571428571428,0.1,0.0363762378692626,0.0618138909339904,0.0392212569713592,0.0754972621798515,0.1180052086710929,0.0265636965632438,0.036098476499319,0.0680135563015937,0.0341523624956607,0.0174670480191707,0.0260038282722234,0.0299872308969497,0.0380258299410342,0.1478908807039261
2,2048,0.0001,32,ICEH,331169.0,458209,0.19992411,0.0032295626588165,0.0025730619672685,0.7181706425676124,1.0,0.9763157894736842,1.0,1.0,1.0,0.5805626598465473,1.0,0.9672489082969432,0.987987987987988,0.8303571428571428,0.982674772036474,0.7708333333333333,0.5858585858585859,1.0,0.9609375,0.8153266331658291,0.7525125628140703,0.7487341772151899,1.0,1.0,1.0,0.9664526241278188,0.875,0.8994490358126721,0.8878627968337731,0.9223433242506812,0.917312661498708,0.8851010101010102,0.9185750636132316,0.8801546391752577,0.7663316582914572,0.8118686868686869,0.5113065326633166,0.800251256281407,0.9104477611940298,0.926300578034682,0.8840782122905029,0.8753180661577609,0.8524804177545692,0.8588082901554404,0.8295454545454546,0.8602564102564103,0.9675666199158486,0.8443877551020409,0.7795969773299748,0.7720403022670026,0.7751256281407035,0.8536585365853658,0.9745454545454546,0.6234256926952141,0.8567567567567568,0.8636363636363636,0.8346055979643766,1.0,1.0,0.8575063613231553,0.5439698492462312,0.7298994974874372,1.0,1.0,1.0,1.0,1.0,0.5252525252525253,0.64453125,0.5590452261306532,1.0,1.0,1.0,0.5,0.6752379693283976,0.6257396449704142,0.6145038167938931,0.5843653250773994,0.3945756780402449,0.3595600676818951,0.5127877237851662,0.1857485029940119,0.3799458732926475,0.3929042839593298,0.4215440356744704,0.2601694915254237,0.5277314256872985,0.5006377551020409,0.5023474178403755,0.479379468845761,0.9824929971988796,0.8120204603580563,0.4526315789473684,0.760149959624281,0.7317708333333334,0.4473866486951963,0.4,0.4717537364596188,0.2,0.5474323062558357,0.4341013824884793,0.4241269841269841,0.2224437014709505,0.2216370587780953,0.2942444694413198,0.4225817464532281,0.4205284775465498,0.3582905982905983,0.313335462877259,0.2307692307692307,0.38125,0.2883015282208831,0.2715038314176245,0.0659737288951873,0.3505309820175171,0.1364632695913314,0.1354818940162658,0.1484127640724181,0.0041228155605494,0.0283451229333877,0.0717324540019035,0.0629944205284118,0.0216718781739473,0.0124521516263484,0.0152125535532832,0.0123619399964809,0.3522568345069886
3,2048,0.0001,32,SCARF,2354752.0,2347489,0.35326427,0.0036211223341524,0.0024333870969712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2048,0.0001,32,SUBTAB,517344.0,517377,0.32849854,0.0032551332842558,0.0026448054704815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2048,0.0001,64,CONTROL,,597697,,,0.0024679338093846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2048,0.0001,64,GMC,2632192.0,814465,0.27574524,0.0036357236094772,0.0026107570156454,0.5,0.581447335185653,0.5,0.5,0.5,0.5,0.5,0.5,0.5272283585923452,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5088048651507139,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3528481012658228,0.25,0.5,0.5,0.3333333333333333,0.2611814345991561,0.3333333333333333,0.25,0.2,0.4289740896358543,0.2,0.2651162790697675,0.2088495575221239,0.1900241109101868,0.0714285714285714,0.1007211389021282,0.25,0.1428571428571428,0.1158162809970038,0.1585604734516962,0.1409252074995238,0.0793095793095793,0.1051094890510948,0.0143849206349206,0.1,0.0248254351317882,0.061977807432413,0.0415882393717765,0.0757055953145026,0.1226880848407745,0.0280592255294322,0.0377741083502769,0.0687084943056106,0.0230354778468608,0.02525594830513,0.0273150447756051,0.0280884578824043,0.0158274546265601,0.1474121212959289
7,2048,0.0001,64,ICEH,335297.0,843329,0.16643673,0.0031703212298452,0.0025649196468293,0.726393780317629,1.0,1.0,1.0,1.0,1.0,0.9375,0.994750656167979,0.9672489082969432,0.8348348348348349,0.8819241982507289,0.8267477203647416,0.8176638176638177,0.7777777777777778,1.0,0.98828125,0.8731155778894473,0.5138190954773869,0.7759493670886076,1.0,1.0,1.0,0.9752502780867632,0.8775773195876289,0.9778466483011938,0.9235488126649076,0.9347752043596732,0.8772609819121446,0.9015151515151516,0.9961832061068704,0.8737113402061856,0.8341708542713568,0.8232323232323233,0.9899497487437184,0.9384422110552764,0.9283582089552238,0.9667630057803468,0.905027932960894,0.8982188295165394,0.9673629242819844,0.9779792746113988,0.8724747474747474,0.8705128205128205,0.967741935483871,0.8954081632653061,0.7972292191435768,0.8198992443324937,0.9158291457286432,0.9101626016260164,0.9745454545454546,0.8463476070528968,0.9905405405405404,0.9710743801652892,0.903944020356234,1.0,1.0,0.8638676844783715,0.4346733668341708,0.9535175879396984,1.0,1.0,1.0,1.0,1.0,0.8143939393939394,0.9947916666666669,0.8567839195979899,1.0,1.0,1.0,0.552,0.6895425700687468,0.8350712969250169,0.5343511450381679,0.5890092879256966,0.8618345783700114,0.8646362098138748,0.6457800511508951,0.2769161676646706,0.4705826794536472,0.590821767427272,0.4771112040133779,0.3870161475034356,0.4516431816074905,0.5278061224489796,0.5174050632911392,0.6360923135852911,0.7535014005602241,0.946291560102302,0.6897316821465429,0.5352471961849344,0.4716475938967135,0.3692575536336067,0.2341,0.6317873303167421,0.5636363636363637,0.4389602000067116,0.7057047577030449,0.3368116670015404,0.1585280515340039,0.3107291315026779,0.2585301837270341,0.277276214079188,0.2435786435786435,0.2814386355209491,0.5213192752282032,0.2577458716993601,0.5451037435059154,0.2079813108038914,0.1336624802142043,0.0457849353551864,0.3570698201656341,0.1722723841667174,0.0811831057071685,0.1951724588871002,0.003046873724088,0.0332675464451312,0.0561800263822078,0.030115945264697,0.0282874573022127,0.0169592145830392,0.0276998076587915,0.028927681967616,0.252131849527359
8,2048,0.0001,64,SCARF,2367104.0,2354753,0.33644986,0.0036596611607819,0.0024459366686642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2048,0.0001,64,SUBTAB,744768.0,744833,0.3226508,0.0032874487806111,0.0026772883720695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
