,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,V1,V6,V10,V12,V13,V14,V15
0,1024,0.0001,32,CLIP,7841.0,15106,0.823418,0.7447568193515183,0.7515618745353692,512.941162109375,2588969.25,284.8235168457031,1663502.875,74.64705657958984,14878.3525390625,3.764705896377564
1,1024,0.0001,32,CONTROL,,15106,,,0.7530022302281696,,,,,,,
2,1024,0.0001,32,GMC,370208.0,145282,0.76302284,0.7291059072453823,0.7640390004002974,708.2941284179688,3155849.5,61.05882263183594,767604.9375,7.205882549285889,29302.912109375,2.8235294818878174
3,1024,0.0001,32,ICEH,154529.0,161794,0.72451097,0.7608401955738548,0.7746576027906444,934.7058715820312,6396607.5,226.9411773681641,273852.65625,8.764705657958984,25738.205078125,1.7941176891326904
4,1024,0.0001,32,MCN,11104.0,15106,0.824235,0.7323297306570595,0.7574412420655344,648.7352905273438,3331885.25,193.1470642089844,301843.3125,7.117647171020508,29302.912109375,28.823530197143555
5,1024,0.0001,32,SCARF,16096.0,15106,0.88616323,0.7587493566649511,0.7857905872934179,,,,,,,
6,1024,0.0001,32,SUBTAB,9952.0,15106,0.8270068,0.7492458683593527,0.7634385543546636,,,,,,,
7,1024,0.0001,64,CLIP,30017.0,58882,0.8236923,0.744781837936753,0.7701435351975754,1125.0882568359375,3752534.0,210.8529357910156,1280254.75,16.294116973876953,18269.470703125,5.176470756530762
8,1024,0.0001,64,CONTROL,,58882,,,0.7573340195573854,,,,,,,
9,1024,0.0001,64,GMC,374336.0,171010,0.75306886,0.7314290615886088,0.7659296906273232,769.7941284179688,6401996.5,66.9117660522461,787410.25,7.205882549285889,29302.912109375,2.7352941036224365
10,1024,0.0001,64,ICEH,158657.0,187522,0.6430707,0.7627559043861154,0.7667874706925144,905.058837890625,6384158.5,146.41175842285156,1163450.875,8.911765098571777,44545.1171875,1.2941176891326904
11,1024,0.0001,64,MCN,36544.0,58882,0.8186627,0.7255997312289129,0.7547928461142563,512.941162109375,3274962.75,220.4117584228516,903048.0,8.029411315917969,29302.912109375,3.1764705181121826
12,1024,0.0001,64,SCARF,62912.0,58882,0.8550648,0.7595570995596729,0.753252416080517,,,,,,,
