,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,month,hour,temp,feel_temp,humidity,windspeed
0,1024,0.0001,32,CLIP,5633.0,11841,0.32927495,14548.686,26650.049,0.1087289673512964,0.0374732840610969,307.33203125,327.4964599609375,0.0968703031539917,699.8081665039062
1,1024,0.0001,32,CONTROL,,11841,,,26337.785,,,,,,
2,1024,0.0001,32,GMC,262432.0,98529,0.20354807,10771.301,11410.048,0.2688766761280958,0.0472592748389261,11.422325134277344,13.957355499267578,0.0294640064239501,62.03930282592773
3,1024,0.0001,32,ICEH,108833.0,115041,0.3909688,12675.882,11158.331,0.1769885897586811,0.0489130434782608,2.984363317489624,6.452301502227783,0.1631344556808471,138.99703979492188
4,1024,0.0001,32,MCN,8896.0,11841,0.34638062,12338.246,26607.43,0.0773579381247448,0.0488000951347684,252.58790588378903,563.181396484375,0.1571673601865768,1294.90087890625
5,1024,0.0001,32,SCARF,12864.0,11841,0.22107172,11729.293,26262.32,,,,,,
6,1024,0.0001,32,SUBTAB,7744.0,11841,0.40924916,12996.7295,26215.873,,,,,,
7,1024,0.0001,64,CLIP,19457.0,44161,0.30955654,13139.754,22433.36,0.2257214145778562,0.0509221092015131,13.86895751953125,27.10564994812012,0.1209273114800453,1080.1419677734375
8,1024,0.0001,64,CONTROL,,44161,,,21462.824,,,,,,
9,1024,0.0001,64,GMC,266560.0,121153,0.20188035,10563.243,11813.32,0.2797690810685035,0.0592969591467545,11.129444122314451,13.093255996704102,0.0304864142090082,60.33556365966797
10,1024,0.0001,64,ICEH,112961.0,137665,0.5365818,11613.929,11144.723,0.2096030959275242,0.0515884291115577,2.429680585861206,3.4890987873077397,0.1215830594301223,98.43913269042967
11,1024,0.0001,64,MCN,25984.0,44161,0.2655849,12355.952,20320.156,0.1354251729642098,0.0594922826088224,146.9693145751953,173.79551696777344,0.1065358594059944,429.0617980957031
12,1024,0.0001,64,SCARF,48256.0,44161,0.20291926,11497.866,22796.842,,,,,,
13,1024,0.0001,64,SUBTAB,27776.0,44161,0.32240215,13162.155,22264.814,,,,,,
14,1024,0.0001,128,CLIP,71681.0,170241,0.25725088,12668.46,15673.574,0.2447217573343348,0.0655831647204447,11.207609176635742,26.65740394592285,0.0853978991508483,845.3546752929688
15,1024,0.0001,128,CONTROL,,170241,,,14624.578,,,,,,
16,1024,0.0001,128,GMC,274816.0,203265,0.19512329,10752.548,10925.787,0.2786542431819253,0.0602063161202797,11.38559627532959,14.157443046569824,0.0285109244287014,61.98281097412109
17,1024,0.0001,128,ICEH,121217.0,219777,0.52960926,12010.683,10854.635,0.1796823508426694,0.0549325606335588,2.840277910232544,4.884555339813232,0.1152529492974281,151.20953369140625
