,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
0,1024,0.0001,32,CLIP,8961.0,17250,0.7106928,0.5381836315348583,0.7815637830710688,7.404841899871826,281.875,1.4998644590377808,0.5235717296600342,5524570.5,0.6225854158401489,13.725642204284668,12.68864631652832
1,1024,0.0001,32,CONTROL,,17250,,,0.7906150101237007,,,,,,,,
2,1024,0.0001,32,GMC,420128.0,163074,0.46561307,0.7882775434154624,0.8022845004075776,6.565207004547119,132.9375,2.5767393112182617,0.2643389403820038,4158384.75,0.5584718585014343,13.489574432373049,10.615550994873049
3,1024,0.0001,32,ICEH,171297.0,179586,0.7034689,0.749080602688885,0.7992849549410797,6.203296184539795,226.1875,1.9455039501190183,0.2960284948348999,5524570.5,0.5909632444381714,8.899999618530273,8.780112266540527
4,1024,0.0001,32,MCN,12224.0,17250,0.71065825,0.6314212248363116,0.8034555815587119,9.653231620788574,614.75,10.295448303222656,0.2795277237892151,3237893.25,1.8607207536697388,9.830147743225098,10.812986373901367
5,1024,0.0001,32,SCARF,18240.0,17250,0.76758945,0.6787349694035093,0.767499539831785,,,,,,,,
6,1024,0.0001,32,SUBTAB,13120.0,17250,0.7110686,0.6169231087086364,0.7917072052951275,,,,,,,,
7,1024,0.0001,64,CLIP,34305.0,67266,0.7104682,0.5984478244373739,0.8047008530955234,6.187982082366943,316.0625,1.3875327110290527,0.2504302859306335,4802495.5,1.0266066789627075,13.240694999694824,9.884302139282228
8,1024,0.0001,64,CONTROL,,67266,,,0.7812613868155233,,,,,,,,
9,1024,0.0001,64,GMC,424256.0,191874,0.44122565,0.8028413978595603,0.8047844346692612,6.301612854003906,139.5,2.5808544158935547,0.2643707990646362,3034584.5,0.4018381237983703,12.434205055236816,12.17311668395996
10,1024,0.0001,64,ICEH,175425.0,208386,0.6089748,0.7634735375102834,0.8026441829102916,6.506080627441406,203.5,1.2831425666809082,0.8153312802314758,1627673.0,1.161184787750244,8.605847358703613,11.789206504821776
11,1024,0.0001,64,MCN,40832.0,67266,0.71049994,0.6262025416311368,0.7797259275676447,9.288480758666992,614.75,17.03502082824707,0.3009502291679382,3237893.25,1.1251649856567385,9.830147743225098,10.812986373901367
