,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Recommended IND,Division Name,Department Name,Class Name,Age,Positive Feedback Count
0,128,0.00025,128,CLIP,109618561.0,109750405,0.4084868,0.4255685061136504,0.4117804291777233,0.9411764705882352,0.5505494505494506,0.8392857142857143,0.2986111111111111,727.9111328125,390.3333435058594
1,128,0.00025,128,CONTROL,,109750405,,,0.3492843931046178,,,,,,
2,128,0.00025,128,GMC,223267456.0,110880901,0.40363005,0.3970045648822133,0.3378378378378378,0.5,0.3333333333333333,0.4318181818181818,0.2424242424242424,710.3333129882812,27.799999237060547
3,128,0.00025,128,ICEH,111011713.0,111143557,0.69781905,0.3764741525457822,0.3632885183446981,0.5574866310160428,0.5897435897435898,1.0,0.3333333333333333,627.3555297851562,534.0
4,128,0.00025,128,MCN,109620096.0,109750405,0.24275826,0.3960559835390161,0.3801697487597235,0.8796791443850267,0.5553113553113553,0.9642857142857144,0.4444444444444444,535.04443359375,26.0444450378418
5,128,0.00025,128,SCARF,109766272.0,109750405,0.46570125,0.3693026829167057,0.3430334317974767,,,,,,
6,128,0.00025,128,SUBTAB,109684352.0,109750405,0.3324686,0.3675675072811181,0.3294146181786631,,,,,,
7,128,0.00025,256,CLIP,109820417.0,110346245,0.38712198,0.4274295965017488,0.3728514272260752,0.8368983957219251,0.5626373626373625,0.7796052631578947,0.535479797979798,639.4000244140625,181.1777801513672
8,128,0.00025,256,CONTROL,,110346245,,,0.377044577044577,,,,,,
9,128,0.00025,256,GMC,223333120.0,111340549,0.3749652,0.381005737873528,0.3266409266409266,0.5,0.3333333333333333,0.3409090909090909,0.25,712.4222412109375,29.511110305786133
10,128,0.00025,256,ICEH,111077377.0,111603205,0.36111346,0.4629382321313341,0.4146319276476856,0.8529411764705883,0.6117216117216117,1.0,0.5458333333333333,662.7111206054688,323.79998779296875
11,128,0.00025,256,MCN,109823488.0,110346245,0.35423115,0.4037537862594488,0.3439101439101439,0.5454545454545454,0.3999999999999999,1.0,0.5166666666666667,295.31109619140625,26.26666641235352
12,128,0.00025,256,SCARF,110410752.0,110346245,0.48130283,0.3759795130838944,0.3472111247392146,,,,,,
13,128,0.00025,256,SUBTAB,110083072.0,110346245,0.27078757,0.3918426483475896,0.37999297999298,,,,,,
14,128,0.0005,128,CLIP,109618561.0,109750405,0.6537985,0.3941495346139649,0.3397683397683397,0.4759358288770053,0.6428571428571429,1.0,0.3083333333333333,662.7999877929688,346.3333435058594
