,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,1024,0.0001,32,CLIP,11201.0,21538,0.6569226,0.5718057082646143,0.6649315099871724,9009240.0,1570.609619140625,15.162036895751951,1809158.75,5745707008.0,659.6326904296875,5.390431880950928,1.162037014961243,189.6589508056641,2.2916667461395264
1,1024,0.0001,32,CONTROL,,21538,,,0.7191050485614807,,,,,,,,,,
2,1024,0.0001,32,GMC,519968.0,198658,0.9730165,0.7542434029686641,0.754277762506872,80192.3671875,220.98611450195312,15.620369911193848,322491.71875,3019898112.0,28.15277862548828,15.924383163452148,1.2978395223617554,14.837963104248049,1.5432099103927612
3,1024,0.0001,32,ICEH,204833.0,215170,0.8709615,0.656307265897013,0.7750423767637896,80143.3671875,1339.8287353515625,1.2175925970077517,319463.0,123052200.0,74.42901611328125,1.731481432914734,1.461419701576233,0.9074074029922484,2.245370388031006
4,1024,0.0001,32,MCN,14464.0,21538,0.7130146,0.5810656038116182,0.7457451438519334,149937.1875,922.0972290039062,30.651233673095703,322372.59375,78618040.0,85.85031127929688,1.5354938507080078,1.5709877014160156,0.3626543283462524,18.05864143371582
5,1024,0.0001,32,SCARF,22528.0,21538,,0.527063862928349,0.710933205057724,,,,,,,,,,
6,1024,0.0001,32,SUBTAB,15360.0,21538,0.89915854,0.5550497067986073,0.4879569818581638,,,,,,,,,,
7,1024,0.0001,64,CLIP,42881.0,84034,0.6562192,0.5733404343045629,0.7048801997434488,5175626.5,1246.9691162109375,1.9012346267700195,2002461.375,14667291648.0,342.1003112792969,1.4074074029922483,3.577160596847534,0.5030864477157593,9.589506149291992
8,1024,0.0001,64,CONTROL,,84034,,,0.5488592633315008,,,,,,,,,,
9,1024,0.0001,64,GMC,524096.0,233602,0.9943303,0.7536592908191313,0.7463922484881803,80194.5234375,706.4413452148438,15.618826866149902,322492.78125,2605016064.0,29.245370864868164,15.88734531402588,1.2978395223617554,14.844136238098145,1.5169752836227417
10,1024,0.0001,64,ICEH,208961.0,250114,,0.6981342770753161,0.7761819681143485,80178.421875,1369.22216796875,3.192901134490967,966467.0625,9755473920.0,66.94290161132812,7.983024597167969,1.2808642387390137,1.3641974925994873,5.75
11,1024,0.0001,64,MCN,49408.0,84034,0.7121846,0.5675451255268462,0.7062488546820598,80144.578125,1846.6033935546875,1.314814805984497,322392.46875,78603520.0,40.86111068725586,75.3024673461914,2.555555582046509,0.3287037014961242,10.452160835266112
12,1024,0.0001,64,SCARF,88064.0,84034,,0.6492979201026206,0.5931028953637529,,,,,,,,,,
13,1024,0.0001,64,SUBTAB,59392.0,84034,0.712018,0.5639717335532344,0.5051825636796775,,,,,,,,,,
14,1024,0.0001,128,CLIP,167681.0,331906,0.6182051,0.5814034726039948,0.7231652006597031,5734305.0,1048.2021484375,3.050925970077514,1785798.875,15230167040.0,117.99073791503906,1.5169752836227417,3.0293209552764893,0.8271604776382446,13.160493850708008
15,1024,0.0001,128,CONTROL,,331906,,,0.5040028862012095,,,,,,,,,,
16,1024,0.0001,128,GMC,532352.0,364930,0.9921434,0.7541002382261315,0.7174786970863112,80190.1328125,802.2484741210938,15.648148536682127,322491.78125,5752400384.0,29.464506149291992,15.915122985839844,1.3256173133850098,14.837963104248049,1.3919752836227417
17,1024,0.0001,128,ICEH,217217.0,381442,,0.7133727322704783,0.77495647791827,80189.46875,1409.69140625,3.4614198207855225,607016.1875,4342557696.0,68.23611450195312,7.050925731658936,2.682098865509033,33.23147964477539,1.5895061492919922
18,1024,0.0001,128,MCN,180736.0,331906,0.656878,0.5782023089609676,0.651267866959868,80196.703125,922.0972290039062,15.856481552124023,322523.875,78635232.0,62.99845504760742,16.00617218017578,5.429012298583984,15.157407760620115,2.2592592239379883
19,1024,0.0001,128,SCARF,348160.0,331906,,0.6326850833791461,0.6074709089243173,,,,,,,,,,
20,1024,0.0001,128,SUBTAB,233472.0,331906,0.9053652,0.584810793476269,0.6980254718709914,,,,,,,,,,
21,1024,0.0002,32,CLIP,11201.0,21538,0.65824085,0.565048332417079,0.6688370441634598,2528319.5,1173.375,217.98765563964844,1785798.75,72992136.0,393.0509338378906,1.6404321193695068,8.06944465637207,0.4629629552364349,2.6990740299224854
22,1024,0.0002,32,CONTROL,,21538,,,0.7076175096206707,,,,,,,,,,
23,1024,0.0002,32,GMC,519968.0,198658,0.99354255,0.7536249312809236,0.7341258933479934,80196.71875,190.2700653076172,15.646604537963867,322485.34375,2417364992.0,26.68827247619629,13.922839164733888,1.0354938507080078,14.850308418273926,1.7762346267700195
24,1024,0.0002,32,ICEH,204833.0,215170,0.68551856,0.579370533260033,0.7601360637713029,80207.2265625,1789.3580322265625,2.0787036418914795,321026.28125,72911464.0,73.98456573486328,1.7577160596847534,1.310185194015503,0.9228395223617554,2.257715940475464
25,1024,0.0002,32,MCN,14464.0,21538,0.70173275,0.5943169323804288,0.6571777075316108,80144.578125,362.0246887207031,16.13580322265625,322435.28125,78635232.0,127.99073791503906,16.353395462036133,2.410493850708008,15.27623462677002,1.4166666269302368
26,1024,0.0002,32,SCARF,22528.0,21538,,0.6094637621403702,0.6941829301814184,,,,,,,,,,
27,1024,0.0002,32,SUBTAB,15360.0,21538,0.6579997,0.5886304288070369,0.7422519241341397,,,,,,,,,,
28,1024,0.0002,64,CLIP,42881.0,84034,0.71153224,0.5745086586036283,0.6125389408099688,5594748.0,1051.0355224609375,134.02622985839844,1785798.875,15105599488.0,142.04783630371094,2.240740776062012,4.847222328186035,0.7685185074806213,16.58333396911621
29,1024,0.0002,64,CONTROL,,84034,,,0.6761327194429173,,,,,,,,,,
30,1024,0.0002,64,GMC,524096.0,233602,0.97446525,0.7634574857980575,0.7261716602528863,80197.5703125,178.84722900390625,15.657407760620115,322492.84375,6671168512.0,28.512346267700195,14.466049194335938,1.2762346267700195,14.839506149291992,1.5925925970077517
31,1024,0.0002,64,ICEH,208961.0,250114,0.68160266,0.6115883269195529,0.7680788436870075,80144.578125,915.7762451171876,1.2361111640930176,2002461.25,286572544.0,87.92129516601562,3.649691343307495,2.2330245971679688,5.393518447875977,2.257715940475464
32,1024,0.0002,64,MCN,49408.0,84034,0.6763056,0.5676310243723658,0.723067848634781,80198.21875,475.69134521484375,16.13888931274414,322494.40625,78635232.0,89.54783630371094,16.30864143371582,2.300925970077514,15.208333015441896,2.543209791183472
33,1024,0.0002,64,SCARF,88064.0,84034,,0.6560381161810519,0.6478319131390874,,,,,,,,,,
34,1024,0.0002,64,SUBTAB,59392.0,84034,0.85032004,0.596905350925417,0.6150013743815284,,,,,,,,,,
35,1024,0.0002,128,CLIP,167681.0,331906,0.6198696,0.5972775792560014,0.5813977460142936,5110617.5,632.9213256835938,3.1836419105529785,2002462.0,14855831552.0,103.47531127929688,2.6712963581085205,2.9243826866149902,1.3472222089767456,5.705246925354004
36,1024,0.0002,128,CONTROL,,331906,,,0.5034187740516768,,,,,,,,,,
