,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,disable_communication,country,currency,goal,deadline,created_at
0,256,0.0001,128,CLIP,109633665.0,109781506,0.82931185,0.5709429763837,0.5777640272813636,0.6779661016949152,0.8916666666666666,0.8666666666666668,3.4570102798167547e-06,0.0007207783637568,0.0008502517011947
1,256,0.0001,128,CONTROL,,109781506,,,0.5,,,,,,
2,256,0.0001,128,GMC,223797504.0,110907778,0.29588217,0.5681854220124384,0.6305520883477678,0.4915254237288136,0.3333333333333333,0.3333333333333333,3.1704630600870125e-06,0.0202583577483892,0.0185353625565767
3,256,0.0001,128,ICEH,111268737.0,111416578,0.589259,0.5547250823728103,0.6328280203403213,0.7033898305084746,0.9875,0.9833333333333334,3.629527554948948e-06,0.0014685447094961,0.0007465083617717
4,256,0.0001,128,MCN,109634688.0,109781506,0.3767583,0.5628861558298082,0.6643102670531006,0.8898305084745763,0.6041666666666666,0.4166666666666666,7.792408496242506e-07,0.0217792261391877,0.0207701921463012
5,256,0.0001,128,SCARF,111333760.0,111317506,0.53357613,0.5333679107434215,0.6141427287327628,,,,,,
6,256,0.0001,128,SUBTAB,110907520.0,110907778,0.4042427,0.5321049240977331,0.5,,,,,,
7,256,0.0001,256,CLIP,109883393.0,110473986,0.8329025,0.5674827503454191,0.6105615645934894,0.7542372881355932,0.8625,0.55,4.187785179965302e-06,0.0007970793521963,0.0008552186773158
8,256,0.0001,256,CONTROL,,110473986,,,0.5379927872611235,,,,,,
9,256,0.0001,256,GMC,223912448.0,111465474,0.33505434,0.5654856149927272,0.5642929191806881,0.4915254237288136,0.2333333333333333,0.2333333333333333,3.1630386274625284e-06,0.013448316603899,0.0166076272726059
10,256,0.0001,256,ICEH,111334401.0,111924994,0.58741045,0.5540502193689351,0.6313619712863128,0.728813559322034,0.9875,0.9875,2.502396910130955e-06,0.0017739762552082,0.001169174327515
11,256,0.0001,256,MCN,109885440.0,110473986,0.46167633,0.5650379546834758,0.6298968689101986,0.4661016949152542,0.5625,0.3958333333333333,1.3012826229896144e-06,0.0080205090343952,0.0097454469650983
12,256,0.0001,256,SCARF,111383168.0,111383554,0.53105855,0.5293093842759642,0.5883155807561211,,,,,,
13,256,0.0001,256,SUBTAB,111202816.0,111203330,0.5320225,0.5376336413349863,0.5,,,,,,
14,256,0.0001,512,CLIP,110677761.0,113038594,0.7466847,0.5694271084055057,0.5642653471870176,0.576271186440678,1.0,0.9333333333333332,3.404930794203939e-06,0.0006458334391936,0.0009880905272439
15,256,0.0001,512,CONTROL,,113038594,,,0.6377429352978793,,,,,,
16,256,0.0001,512,GMC,224240640.0,113563906,0.38534206,0.5594116112883765,0.6053829998423781,0.4915254237288136,0.2625,0.3291666666666666,3.0667686132799003e-06,0.0228871181607246,0.0221402961760759
17,256,0.0001,512,ICEH,111465729.0,113826562,0.46737945,0.5645663907573943,0.6026688743195161,0.7542372881355932,0.9958333333333332,0.9958333333333332,3.0102023629295194e-06,0.0026769156102091,0.0011988481273874
18,256,0.0001,512,MCN,110681856.0,113038594,0.61829704,0.5586087100993018,0.6389910117667329,0.5,0.6,0.7541666666666667,8.61750493186099e-07,0.004816485568881,0.006410430651158
19,256,0.0001,512,SCARF,111481984.0,111613954,0.5242684,0.5230155146306702,0.5,,,,,,
20,256,0.0001,512,SUBTAB,111990016.0,111991042,0.5375042,0.5230614285085421,0.6021638216629249,,,,,,
21,256,0.0001778279410038,128,CLIP,109633665.0,109781506,0.7438357,0.5639310515556047,0.6256897140133415,0.7966101694915254,0.3166666666666666,0.5,1.8289323406860812e-06,0.0010232626227661,0.001248090644367
22,256,0.0001778279410038,128,CONTROL,,109781506,,,0.5,,,,,,
23,256,0.0001778279410038,128,GMC,223797504.0,110907778,0.637224,0.5225044269025031,0.5,0.5,0.2,0.2,3.116172365480389e-06,0.0035668993368744,0.0042687417007982
24,256,0.0001778279410038,128,ICEH,111268737.0,111416578,0.7039923,0.5285223399416183,0.5,0.559322033898305,1.0,1.0,5.434259946923302e-06,0.0012521024327725,0.0019319406710565
25,256,0.0001778279410038,128,MCN,109634688.0,109781506,0.39905033,0.5527210836053849,0.6447135613028371,0.4661016949152542,0.6333333333333334,0.5583333333333333,1.963112936209529e-06,0.0095434552058577,0.0117170456796884
26,256,0.0001778279410038,128,SCARF,111333760.0,111317506,0.64076257,0.5223750870351989,0.6219999185857011,,,,,,
27,256,0.0001778279410038,128,SUBTAB,110907520.0,110907778,0.89077044,0.5228161205991904,0.5,,,,,,
28,256,0.0001778279410038,256,CLIP,109883393.0,110473986,0.7926768,0.5611579953338246,0.604751210682692,0.5338983050847458,0.9916666666666666,0.7333333333333333,3.326106934764446e-06,0.0011917656520381,0.0009326332947239
29,256,0.0001778279410038,256,CONTROL,,110473986,,,0.5,,,,,,
30,256,0.0001778279410038,256,GMC,223912448.0,111465474,0.70248777,0.5233494552578727,0.5,0.5,0.2,0.2,2.8249585284354994e-06,0.0013128533028066,0.0017372149741277
31,256,0.0001778279410038,256,ICEH,111334401.0,111924994,0.4436218,0.5509361224357454,0.6468608634365071,0.7203389830508474,1.0,1.0,3.604825224101487e-06,0.001683005481027,0.0013684874866157
32,256,0.0001778279410038,256,MCN,109885440.0,110473986,0.4827735,0.5638408804861759,0.6431815998004403,0.5,0.4625,0.7875,3.248569100833119e-06,0.0053773382678627,0.0069238683208823
33,256,0.0001778279410038,256,SCARF,111383168.0,111383554,0.49104926,0.5210564830632225,0.5,,,,,,
34,256,0.0001778279410038,256,SUBTAB,111202816.0,111203330,0.91256493,0.5205174683371745,0.5,,,,,,
35,256,0.0001778279410038,512,CLIP,110677761.0,113038594,0.7813949,0.5640150692187209,0.5,0.7033898305084746,0.6916666666666667,0.7583333333333333,3.7895165405643e-06,0.0006373410578817,0.0009869890054687
36,256,0.0001778279410038,512,CONTROL,,113038594,,,0.5,,,,,,
37,256,0.0001778279410038,512,GMC,224240640.0,113563906,0.6893023,0.5276070207525995,0.5,0.5,0.2,0.2,3.019798441527876e-06,0.0083401184529066,0.0104221869260072
38,256,0.0001778279410038,512,ICEH,111465729.0,113826562,0.6683049,0.524244302537428,0.5,0.7542372881355932,1.0,1.0,3.0136729947114777e-06,0.0009332802146673,0.0008726339437998
39,256,0.0001778279410038,512,MCN,110681856.0,113038594,0.59526527,0.5671622998782099,0.5,0.4915254237288136,0.7291666666666667,0.7791666666666667,2.802142034851989e-06,0.0025303822476416,0.0026052899193018
40,256,0.0001778279410038,512,SCARF,111481984.0,111613954,0.63271105,0.5276106891294398,0.4998643883916463,,,,,,
41,256,0.0001778279410038,512,SUBTAB,111990016.0,111991042,0.7273605,0.5224378044456941,0.5,,,,,,
42,256,0.0003162277660168,128,CLIP,109633665.0,109781506,0.6488184,0.5565238887066534,0.5,0.8050847457627119,0.8333333333333333,1.0,3.609060740927799e-06,0.0008404515101574,0.0008935529622249
43,256,0.0003162277660168,128,CONTROL,,109781506,,,0.5,,,,,,
44,256,0.0003162277660168,128,GMC,223797504.0,110907778,0.6186029,0.5210867767558389,0.5,0.5,0.2,0.2,2.4818068595776118e-06,0.0092416172847151,0.0129721518605947
45,256,0.0003162277660168,128,ICEH,111268737.0,111416578,0.53206223,0.5482601006981276,0.5,0.6864406779661016,1.0,0.9833333333333334,3.463414941506657e-06,0.0021633652504533,0.0010353293037041
46,256,0.0003162277660168,128,MCN,109634688.0,109781506,0.61371464,0.5214955049366885,0.5,0.788135593220339,1.0,1.0,3.1182455586528125e-06,0.0010113433236256,0.0009086257196031
47,256,0.0003162277660168,128,SCARF,111333760.0,111317506,0.6234477,0.5192869054093648,0.6050372257414973,,,,,,
48,256,0.0003162277660168,128,SUBTAB,110907520.0,110907778,0.91975784,0.5225183904014435,0.5,,,,,,
49,256,0.0003162277660168,256,CLIP,109883393.0,110473986,0.9272489,0.5237335698134713,0.5,0.923728813559322,0.8666666666666666,0.6416666666666667,3.528262595864072e-06,0.0010046822717413,0.0008721883641555
50,256,0.0003162277660168,256,CONTROL,,110473986,,,0.5,,,,,,
51,256,0.0003162277660168,256,GMC,223912448.0,111465474,0.65023124,0.5271652771801874,0.5,0.5,0.2,0.2,3.1974871035343603e-06,0.0310620721429586,0.0288405511528253
52,256,0.0003162277660168,256,ICEH,111334401.0,111924994,0.5819916,0.5229568206012256,0.5,0.5,0.2,0.2,3.208337375326332e-06,0.0367077812552452,0.0171856749802827
53,256,0.0003162277660168,256,MCN,109885440.0,110473986,0.4124244,0.5424551901852223,0.5,0.923728813559322,1.0,1.0,3.121578401987547e-06,0.0014090948970988,0.0014786407118663
54,256,0.0003162277660168,256,SCARF,111383168.0,111383554,0.66636497,0.5255360445241547,0.5,,,,,,
55,256,0.0003162277660168,256,SUBTAB,111202816.0,111203330,0.91265476,0.5301900313871055,0.5,,,,,,
56,256,0.0003162277660168,512,CLIP,110677761.0,113038594,0.70262396,0.5593067667115865,0.5,0.6016949152542372,0.9708333333333334,0.9333333333333332,3.710348437380025e-06,0.0008044752175919,0.0009961164323612
57,256,0.0003162277660168,512,CONTROL,,113038594,,,0.5,,,,,,
58,256,0.0003162277660168,512,GMC,224240640.0,113563906,0.65071124,0.5251707451917046,0.5,0.5,0.2,0.2,2.9199693472035e-06,0.0026579746045172,0.0027772795874625
