,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Total_Discharges,Average_Covered_Charges,Average_Medicare_Payments
0,4096,0.0001,32,CLIP,3361.0,6497,0.7860721,0.021618541,0.011238324,207683.8125,0.1011040657758712,0.0548925660550594
1,4096,0.0001,32,CONTROL,,6497,,,0.008247857,,,
2,4096,0.0001,32,GMC,170528.0,74081,0.33207935,0.013275153,0.0073006055,116530.6484375,0.0539162829518318,0.0417656265199184
3,4096,0.0001,32,ICEH,87457.0,90593,0.7306212,0.013186646,0.0070669237,3243.11962890625,0.0482177399098873,0.0396694727241992
4,4096,0.0001,32,MCN,16448.0,6497,0.79231906,0.020619024,0.00792934,360633.5,1.7807831764221191,1.726983666419983
5,4096,0.0001,32,SCARF,7520.0,6497,0.9527651,0.02144191,0.027057594,,,
6,4096,0.0001,32,SUBTAB,5472.0,6497,0.78410935,0.018596442,0.00832342,,,
7,4096,0.0001,64,CLIP,12865.0,25281,0.7855229,0.024583904,0.0070498176,314468.90625,0.1075815483927726,0.0568246878683567
8,4096,0.0001,64,CONTROL,,25281,,,0.0070322077,,,
9,4096,0.0001,64,GMC,174656.0,87489,0.33868614,0.017546678,0.007041783,10542.7978515625,0.0532715171575546,0.0414896011352539
10,4096,0.0001,64,ICEH,91585.0,104001,0.42205924,0.0124132885,0.007303147,2597.12353515625,0.0495562888681888,0.0467383116483688
11,4096,0.0001,64,MCN,39040.0,25281,0.7851344,0.020666571,0.010277306,123995.3359375,0.6494854688644409,0.127706691622734
12,4096,0.0001,64,SCARF,29376.0,25281,0.9478912,0.02827286,0.007606755,,,
13,4096,0.0001,64,SUBTAB,21184.0,25281,0.7914255,0.019140122,0.007796453,,,
14,4096,0.0001,128,CLIP,50305.0,99713,0.7871088,0.022447037,0.006944957,316037.84375,0.1056455001235008,0.0536731667816638
15,4096,0.0001,128,CONTROL,,99713,,,0.0070814034,,,
16,4096,0.0001,128,GMC,182912.0,132737,0.7780429,0.013425138,0.007055483,47534.859375,0.0536767356097698,0.0410377532243728
17,4096,0.0001,128,ICEH,99841.0,149249,0.5189459,0.0153004695,0.006994241,3866.861083984375,0.100163847208023,0.0571134015917778
18,4096,0.0001,128,MCN,102656.0,99713,0.78861535,0.020612663,0.0070167757,3326.507080078125,1.1057018041610718,0.2291409224271774
19,4096,0.0001,128,SCARF,116096.0,99713,0.959015,0.048605,0.0069964393,,,
20,4096,0.0001,128,SUBTAB,83328.0,99713,0.7867236,0.019426828,0.007009841,,,
21,4096,0.0002,32,CLIP,3361.0,6497,0.79492116,0.027160237,0.0076842606,1017441.4375,0.0794643089175224,0.0543694458901882
22,4096,0.0002,32,CONTROL,,6497,,,0.0069747134,,,
