,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,X3,X4,X6,X10,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105,X106,X108,X109,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X122,X123,X124,X125,X126,X127,X128,X129,X130,X131,X132,X133,X134,X135,X136,X137,X138,X139,X140,X141,X142,X143,X144,X145,X146,X147,X148,X150,X151,X152,X153,X154,X155,X156,X157,X158,X159,X160,X161,X162,X163,X164,X165,X166,X167,X168,X169,X170,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,X184,X185,X186,X187,X189,X190,X191,X192,X194,X195,X196,X197,X198,X199,X200,X201,X202,X203,X204,X205,X206,X207,X208,X209,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,X222,X223,X224,X225,X226,X227,X228,X229,X230,X231,X232,X234,X236,X237,X238,X239,X240,X241,X242,X243,X244,X245,X246,X247,X248,X249,X250,X251,X252,X253,X254,X255,X256,X257,X258,X259,X260,X261,X262,X263,X264,X265,X266,X267,X269,X270,X271,X272,X273,X274,X275,X276,X277,X278,X279,X280,X281,X282,X283,X284,X285,X286,X287,X288,X291,X292,X294,X295,X296,X298,X299,X300,X301,X302,X304,X305,X306,X307,X308,X309,X310,X311,X312,X313,X314,X315,X316,X317,X318,X319,X320,X321,X322,X323,X324,X325,X326,X327,X328,X329,X331,X332,X333,X334,X335,X336,X337,X338,X339,X340,X341,X342,X343,X344,X345,X346,X348,X349,X350,X351,X352,X353,X354,X355,X356,X357,X358,X359,X360,X361,X362,X363,X364,X365,X366,X367,X368,X369,X370,X371,X372,X373,X374,X375,X376,X377,X378,X379,X380,X382,X383,X384,X385
0,1024,0.0001,32,CONTROL,,391201,,,88.204285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1024,0.0001,32,GMC,6090784.0,482401,0.4039764,74.499374,138.6102,0.1428571428571428,1.0,0.0833333333333333,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.4627403846153846,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.534021529562982,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5217021472251598,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.4970649701887024,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4607173725151253,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4817238370758139,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.4892857142857142,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5773809523809523,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.3788254755996691,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4457134799774393,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.4547619047619047
2,1024,0.0001,32,ICEH,131233.0,498913,0.4237621,65.00933,142.39667,0.3748090783131214,1.0,0.1388888888888888,0.7703588681849551,0.5888324873096447,0.5516372795969773,0.9209058914941268,1.0,0.5,0.7355769230769231,0.7095238095238096,0.8763297872340425,0.5,1.0,0.7586666666666666,0.7234299516908212,0.2464285714285714,0.969047619047619,0.5,0.8623201123201123,0.8781094527363185,0.5,0.7907280132366044,0.7028639618138425,1.0,0.5328162291169452,0.7422680412371134,0.6056085918854415,0.9011391116202112,0.5,1.0,1.0,0.5432692307692307,0.5273809523809524,0.5747422680412371,0.7920673076923077,0.8931623931623931,0.6966398985629755,0.5594660194174758,0.9278728606356969,0.9054899586234736,0.7734723314975085,0.5329233192136418,0.8095238095238095,0.6511904761904762,0.965174129353234,0.869928400954654,0.5,0.5891566265060241,0.5609243697478992,1.0,0.4988095238095238,0.7835119047619048,0.7937649880095923,0.5,0.6216738407356681,1.0,0.7653562653562653,1.0,0.5376623376623376,0.7894088669950738,0.7540970437017995,0.7073581560283688,0.7208419599723948,1.0,0.822098152743314,0.8370646766169154,0.619304556354916,0.5692124105011933,0.648910411622276,0.9197994987468672,0.5,0.6395631067961165,1.0,0.7636820330969267,0.9511278195488722,1.0,1.0,0.6873508353221958,1.0,0.7285202863961814,0.825,0.6571428571428571,0.7088305489260143,1.0,0.8747438215792647,0.5,0.8820350535540409,0.6674641148325359,0.7711388074291301,0.8007614213197969,0.7988095238095239,0.8304622986327332,0.4009546539379475,0.9702380952380952,0.8130952380952381,0.976997578692494,0.6268656716417911,1.0,0.9127764127764127,0.662291169451074,0.9009779951100244,0.7769390581717451,0.7946288140924819,0.5084127565982405,0.7129720853858785,0.5,0.5,0.5475,0.5584725536992841,0.6571428571428571,1.0,0.4785714285714286,0.7042079207920792,0.831488523699579,0.977667493796526,0.8948683015440508,0.8660049627791564,0.7530413625304136,0.5,0.9213483146067416,0.9462102689486552,0.7675544794188862,0.9788557213930348,0.8868798565451286,0.6219211822660099,0.5,0.9013136288998358,0.5,0.7688702440223738,0.6059850374064838,0.8512164124909223,1.0,0.5862068965517242,0.9621026894865524,0.7904047757716948,0.8130128205128205,0.7198952879581152,0.5,1.0,0.7784256559766765,0.815989847715736,0.5016835016835017,0.8044422721842077,0.8107136271436475,0.7615012106537531,0.7797619047619048,0.8490566037735849,0.9900744416873448,0.5149253731343284,0.7679487179487179,0.8964285714285714,0.9336609336609336,1.0,0.5391849529780565,0.948441247002398,0.9363284433577832,0.5111940298507462,0.8309352517985611,0.6390887290167866,0.5,0.6271186440677966,0.5,0.7336683417085428,0.9791695264241592,0.722636815920398,0.5842696629213483,0.5120320855614974,0.5,0.9427207637231504,1.0,0.8783132530120482,0.9573863636363636,0.8996212121212122,0.9934895833333331,1.0,0.8714952212710061,0.5,1.0,0.5250596658711217,0.6945773524720893,0.9530864197530864,0.7114914425427873,0.6527446300715991,0.7386634844868735,0.5,0.9898082546108862,0.5963855421686747,1.0,1.0,0.6062348668280871,0.5,0.718987341772152,0.8880418705199682,1.0,0.5,0.5550239234449761,1.0,0.7880952380952381,0.929048463356974,0.7482014388489209,0.4976133651551312,0.8265770450881481,0.6090225563909775,0.5,0.6662679425837321,0.9743276283618584,0.7668067226890756,0.9136938418834172,0.5342693805754491,0.4865525672371638,0.913095238095238,0.8277431421446384,0.7641521197007481,0.6136363636363636,0.5650602409638554,0.907960199004975,0.8874357472834927,1.0,0.5119331742243437,0.96484375,0.6678571428571428,0.4504773269689737,0.5811170212765957,0.5119331742243437,0.6861575178997613,0.6103723404255319,1.0,0.975563909774436,0.9654605263157896,0.5523809523809524,0.6050119331742243,0.8915343915343915,0.8976377952755905,1.0,0.4380952380952381,0.6997607655502392,0.5980629539951574,0.5012722646310432,1.0,0.9976190476190476,1.0,1.0,0.7957859134329722,1.0,0.8855721393034826,0.8824257425742574,0.9878048780487804,1.0,0.7268462469733656,1.0,0.8261904761904761,0.6052631578947368,0.9838709677419356,0.5,0.8786057692307692,0.5765765765765766,0.9518518518518518,1.0,1.0,0.9751243781094528,1.0,1.0,0.9535714285714284,0.9,0.6997549019607843,0.6701492537313433,0.8761309523809524,0.7804878048780488,1.0,0.6646489104116222,0.5251798561151079,0.8210616438356164,1.0,1.0,1.0,1.0,0.7176470588235294,0.749379652605459,0.671875,0.6432225063938619,0.6380262249827466,0.7599502487562189,1.0,0.6097852028639619,0.5119331742243437,0.5761904761904761,0.5252808988764045,0.5,0.781900826446281,0.5714285714285714,0.6882541478129713,0.5,0.6726618705035972,1.0,1.0,0.5,0.8515967217747633,0.6192017259978425,0.8429951690821256,0.5,0.7212918660287081,0.6442542787286063,0.5231607629427792,0.945273631840796,0.5,0.9393912737508796,0.3428571428571428,0.7139364303178484,0.5665024630541872,0.6571428571428571,0.7533692722371967,0.8851674641148326,0.5227817745803357,1.0,0.5,0.5,0.5,0.5,0.6016746411483254,0.7590799031476998,0.8879093198992443,0.926065162907268,0.931818181818182,0.5263157894736842,0.6553378378378378,0.8584183673469388,0.5,0.5,0.6250760233918129,0.93562874251497,1.0,0.9472691468159816,0.7949029126213591,0.751269035532995,0.5740740740740741,0.7955801104972375,0.8615753219526805,0.5417661097852029,0.5,0.7988095238095239,0.759493670886076,0.9375822523030644,1.0,0.5023809523809524,0.8765133171912833,1.0,0.5301932367149759,0.6716867469879518,0.6846689895470384,0.525062656641604,0.947777436370154,0.9120481927710844,0.5635491606714629,0.5,0.9230769230769232,1.0,0.2797619047619047,0.4535714285714285
3,1024,0.0001,32,SCARF,392224.0,391201,0.38435763,69.12675,85.1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1024,0.0001,32,SUBTAB,183328.0,391201,0.11660135,60.94197,105.62913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1024,0.0001,64,CONTROL,,1517633,,,143.9327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1024,0.0001,64,GMC,6094912.0,1589441,0.37987545,70.46438,138.58804,0.1428571428571428,1.0,0.0833333333333333,0.5,0.5,0.5,0.5,1.0,0.4964200477326969,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.4986702127659574,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3696648337261063,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5087463556851312,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.3627757394573538,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5756796690307329,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.513095238095238,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5628047391205285,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5
7,1024,0.0001,64,ICEH,135361.0,1605953,0.3359222,67.585464,138.23682,0.3664066092637522,1.0,0.1260194159978384,0.8019323671497585,0.5,0.6624685138539043,0.7948717948717949,1.0,0.5274463007159904,0.7391826923076923,0.5,0.9148936170212766,0.6199460916442049,1.0,0.664,0.7548309178743962,0.3154761904761904,0.6071428571428571,0.5,0.8868023868023868,0.9800995024875622,0.9821428571428572,0.8080851470026729,0.9009546539379476,1.0,0.5865155131264916,0.8389811632938781,0.5,0.8165012091128929,0.5754257907542579,1.0,1.0,0.5721153846153846,0.3357142857142857,0.795376444860981,0.5612980769230769,0.9509952766531714,0.75525969756739,0.5716019417475728,0.7567237163814181,0.8382026440609547,0.8115984788880146,0.5201612903225806,0.8158333333333333,0.85,0.9950248756218906,0.6026252983293556,0.595873786407767,0.5421686746987951,0.6281512605042017,1.0,0.5869047619047619,0.55375,0.6402877697841727,0.5011990407673861,0.7224735863823126,1.0,0.8832923832923834,1.0,0.6462481962481963,0.6551724137931034,0.5424164524421594,0.5438829787234043,0.6031746031746031,1.0,0.6315136476426799,0.9912935323383084,0.5758393285371702,0.5,0.7627118644067796,1.0,0.5075757575757576,0.5012135922330098,1.0,0.5079787234042553,0.9473684210526316,1.0,1.0,0.5525059665871122,1.0,0.6420047732696897,0.875,0.4666666666666667,0.6252983293556086,1.0,0.7752712477396022,0.5374800637958532,0.5632911392405063,0.5035885167464115,0.7750488758553276,0.5964467005076142,0.8976190476190475,0.8086841749018546,0.6241050119331742,0.5261904761904762,0.8964285714285714,0.986682808716707,0.6069651741293532,1.0,0.687960687960688,0.7863961813842482,0.89119804400978,0.8170590951061865,0.9075967285309846,0.7390212609970674,0.6330049261083743,0.6295180722891567,0.5632530120481928,0.5025,0.5954653937947494,0.6273809523809524,1.0,0.6607142857142857,0.5222772277227723,0.8594775680202815,0.9751861042183624,0.8886113634070038,0.93424317617866,0.583941605839416,0.7659574468085106,0.6587078651685393,0.930317848410758,0.5617433414043583,0.927860696517413,0.7888293714653547,0.8262725779967159,0.5788113695090439,0.8779146141215106,0.5,0.8304290368184891,0.6483790523690773,0.7086964415395788,1.0,0.770935960591133,0.9877750611246944,0.8049650553290624,0.906025641025641,0.5157068062827225,0.5,1.0,0.7565597667638484,0.6294416243654822,0.5538720538720538,0.8303600521342457,0.8118507591124224,0.8232445520581113,0.7666666666666666,0.981132075471698,0.9863523573200992,0.8666467314992979,0.7697684036393714,0.9214285714285716,0.9938574938574938,1.0,0.5156739811912225,0.7458033573141487,0.5440097799511002,0.8390321909615684,0.7529976019184652,0.7850719424460432,0.5108173076923077,0.6343825665859564,0.5,0.5213567839195979,0.9829787234042552,0.8967661691542288,0.5898876404494382,0.5842245989304813,0.5,0.7541766109785203,1.0,0.9036144578313252,0.9857954545454546,0.9602272727272728,0.9947916666666669,1.0,0.773542600896861,0.5,0.9959183673469388,0.6706443914081146,0.8157894736842105,0.7864197530864198,0.8215158924205379,0.6097852028639619,0.5178997613365155,0.8223782704783631,0.9940817588843904,0.7963855421686747,1.0,1.0,0.5547820823244551,0.7059523809523809,0.8835443037974684,0.7300318580043236,1.0,0.5,0.80622009569378,1.0,0.7892857142857144,0.8204787234042553,0.8824940047961631,0.7243436754176611,0.7832440584533777,0.6516290726817042,0.5,0.9413875598086124,0.6992665036674817,0.7941176470588236,0.9273028683047188,0.6984859907023495,0.5730440097799511,0.6107142857142858,0.713216957605985,0.8413341645885286,0.5538277511961722,0.5903614457831325,0.9614427860696516,0.7706422018348624,1.0,0.5047732696897375,0.94140625,0.8630952380952381,0.3562052505966587,0.7021276595744681,0.5572792362768496,0.5178997613365155,0.5398936170212766,1.0,0.9774436090225564,0.9967105263157896,0.7678571428571428,0.8866348448687351,0.9822682904579456,0.9094488188976376,1.0,0.5261904761904762,0.7296650717703349,0.5230024213075061,0.5076335877862596,1.0,0.7845238095238095,1.0,1.0,0.5106837606837606,1.0,0.8557213930348259,0.926980198019802,0.988157894736842,1.0,0.4878934624697336,1.0,0.5,0.7045454545454546,0.998759305210918,0.5,0.9326923076923076,0.8567858180761406,0.9888888888888888,1.0,1.0,0.9962686567164178,1.0,1.0,0.9678571428571427,0.6675675675675676,0.6899509803921569,0.6940298507462687,0.6625,0.7524390243902439,1.0,0.4782082324455206,0.447242206235012,0.6,1.0,1.0,1.0,1.0,0.5411764705882353,0.7766749379652605,0.6670673076923077,0.6547314578005115,0.5797101449275363,0.7835820895522387,1.0,0.7995226730310263,0.5,0.951190476190476,0.5533707865168539,0.5668257756563246,0.5816666666666667,0.6125541125541125,0.6980580693815988,0.7636054421768708,0.6378896882494005,1.0,1.0,0.8400954653937948,0.692860675427441,0.5486785329018339,0.7185990338164251,0.6029411764705882,0.8074162679425838,0.519559902200489,0.5122615803814714,0.9825870646766168,0.5,0.6568877551020408,0.8166666666666667,0.78239608801956,0.8226600985221675,0.8,0.6118598382749326,0.8086124401913876,0.5671462829736211,1.0,0.6889558232931727,0.8054892601431981,0.5,0.5012919896640827,0.6363636363636364,0.847457627118644,0.8488664987405541,0.7619047619047619,0.5568181818181818,0.8044721177944862,0.6368243243243243,0.5816326530612245,0.6797619047619048,0.5147492625368731,0.65,0.8817365269461077,1.0,0.9317049444813514,0.7742718446601942,0.6890862944162437,0.6518518518518519,0.8204419889502763,0.8556903264450435,0.6831742243436754,0.2183770883054892,0.6952380952380952,0.8493670886075949,0.8261421319796954,1.0,0.9595238095238094,0.9782082324455206,1.0,0.788647342995169,0.7650602409638554,0.6777003484320557,0.5739348370927319,0.9115455523121831,0.8542168674698796,0.7254196642685851,0.5652173913043478,0.6346153846153846,1.0,0.4464285714285714,0.5
8,1024,0.0001,64,SCARF,1521728.0,1517633,0.37212145,76.51888,144.50594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1024,0.0001,64,SUBTAB,686144.0,1517633,0.1567553,61.265755,145.10687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
