,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,LATITUDE,LONGITUDE,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,month_sold
0,1024,0.0001,32,CLIP,14561.0,27937,0.33651313,0.050832894,289.40198,0.0907220765948295,0.0274469461292028,1392315648.0,2259774.5,276039040.0,432646432.0,1978293376.0,382907232.0,5750011392.0,1737125504.0,336771456.0,1288.6378173828125,25.68378448486328
1,1024,0.0001,32,CONTROL,,27937,,,119.223526,,,,,,,,,,,,,
2,1024,0.0001,32,GMC,669728.0,252001,0.4931804,0.08946041,5.766222,0.0516279526054859,0.0323700718581676,381553568.0,4466971.0,272829984.0,87215776.0,1047307072.0,350399776.0,2714287104.0,1206803968.0,90475528.0,493.5270385742188,11.36486530303955
3,1024,0.0001,32,ICEH,255137.0,268513,0.30147466,0.045434244,0.3038371,0.0612909644842147,0.0427801683545112,102468416.0,3442783.75,1997673344.0,224725616.0,1462144000.0,517764064.0,6179796992.0,2067772928.0,344124672.0,887.4486694335938,14.656756401062012
4,1024,0.0001,32,MCN,17824.0,27937,0.3994466,0.049140263,35.55165,0.0305636916309595,0.0497926883399486,102468416.0,2259774.5,275707264.0,107806344.0,1284148992.0,761343488.0,4480840192.0,1858421504.0,116228848.0,1504.654052734375,43.14324188232422
5,1024,0.0001,32,SCARF,28960.0,27937,0.37219957,0.060386527,75.05665,,,,,,,,,,,,,
6,1024,0.0001,32,SUBTAB,20768.0,27937,0.3606535,0.047586527,74.77525,,,,,,,,,,,,,
7,1024,0.0001,64,CLIP,55745.0,109121,0.34515178,0.05294726,95.71409,0.0907220765948295,0.0497926883399486,102468416.0,2646602.5,275948768.0,119051904.0,1254366080.0,295784480.0,4538346496.0,1858421504.0,413923968.0,1192.8946533203125,23.53783798217773
8,1024,0.0001,64,CONTROL,,109121,,,113.29167,,,,,,,,,,,,,
9,1024,0.0001,64,GMC,673856.0,296129,0.50090146,0.08244844,18.188765,0.0467491671442985,0.0298353321850299,643822016.0,8596770.0,275707264.0,219251216.0,1284467456.0,569098752.0,3611032064.0,1354370944.0,110132408.0,518.4513549804688,12.108108520507812
10,1024,0.0001,64,ICEH,259265.0,312641,0.2751717,0.04653992,1.6242598,0.0424924455583095,0.0336815193295478,226209120.0,12735931.0,2518433024.0,262161664.0,1414808320.0,1045708352.0,6415038976.0,3401331456.0,389147616.0,416.6729736328125,43.14324188232422
11,1024,0.0001,64,MCN,62272.0,109121,0.34086525,0.052082878,100.5065,0.0892582237720489,0.0497926883399486,102468416.0,9128012.0,275707264.0,107806344.0,1833025280.0,588253760.0,5953650688.0,2708176640.0,97228168.0,1151.072998046875,21.86756706237793
12,1024,0.0001,64,SCARF,113216.0,109121,0.36358646,0.050927237,194.31082,,,,,,,,,,,,,
13,1024,0.0001,64,SUBTAB,80448.0,109121,0.37066036,0.04618772,98.4484,,,,,,,,,,,,,
14,1024,0.0001,128,CLIP,217985.0,431233,0.34201363,0.05046867,224.23328,0.0762644559144973,0.0458642952144146,196251488.0,13447912.0,2237280512.0,427550048.0,1802474496.0,536779424.0,4517438976.0,3432573696.0,413923968.0,1227.1810302734375,28.1162166595459
15,1024,0.0001,128,CONTROL,,431233,,,89.90348,,,,,,,,,,,,,
16,1024,0.0001,128,GMC,682112.0,464257,0.51078033,0.086756155,17.41807,0.0489508025348186,0.0306483749300241,272964448.0,8537330.0,275017376.0,137506368.0,859034112.0,291407456.0,2921005056.0,1363505664.0,156368960.0,572.2946166992188,11.689188957214355
