,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Precinct,Sector,Occurred_hour,Occurred_min
0,1024,0.0001,32,CLIP,2241.0,6401,0.1612083,159049.1,188125.2,0.7614276094276095,0.1885620915032679,0.5265664160401002,0.6152882205513784
1,1024,0.0001,32,CONTROL,,6401,,,195845.56,,,,
2,1024,0.0001,32,GMC,104224.0,33761,0.20349234,159260.62,148271.6,1.0,0.324626517273576,0.9964912280701754,0.986842105263158
3,1024,0.0001,32,ICEH,46113.0,50273,0.16545303,162428.05,148039.62,1.0,0.2455415499533146,0.9964912280701754,0.986842105263158
4,1024,0.0001,32,MCN,5504.0,6401,0.1603729,159840.44,187107.34,0.5593063973063972,0.2370448179271708,0.5177944862155389,0.3446115288220552
5,1024,0.0001,32,SCARF,7424.0,6401,0.22413617,160569.58,195417.14,,,,
6,1024,0.0001,32,SUBTAB,4352.0,6401,0.16432135,156762.48,185347.5,,,,
7,1024,0.0001,64,CLIP,4481.0,20993,0.18541548,161824.28,151136.05,1.0,0.3030345471521942,0.8605263157894738,0.8709273182957393
8,1024,0.0001,64,CONTROL,,20993,,,149810.16,,,,
9,1024,0.0001,64,GMC,108352.0,50241,0.20844412,161084.11,147980.89,1.0,0.2540382819794584,0.9964912280701754,0.986842105263158
10,1024,0.0001,64,ICEH,50241.0,66753,0.20019789,161390.25,148374.62,1.0,0.3173669467787115,0.9964912280701754,0.986842105263158
11,1024,0.0001,64,MCN,11008.0,20993,0.16110961,161792.53,149312.34,0.6971380471380472,0.2179971988795518,0.4223057644110274,0.6973684210526315
12,1024,0.0001,64,SCARF,25088.0,20993,0.20005597,162400.12,149622.64,,,,
13,1024,0.0001,64,SUBTAB,12800.0,20993,0.15749644,163464.23,150416.27,,,,
14,1024,0.0001,128,CLIP,8961.0,74753,0.19934052,161332.12,148285.53,1.0,0.325140056022409,0.9964912280701754,0.9793233082706768
15,1024,0.0001,128,CONTROL,,74753,,,148105.05,,,,
16,1024,0.0001,128,GMC,116608.0,107777,0.20821634,161274.66,148100.17,1.0,0.3172735760971055,0.9964912280701754,0.986842105263158
17,1024,0.0001,128,ICEH,58497.0,124289,0.19157836,158712.4,148197.11,1.0,0.211391223155929,0.9964912280701754,0.986842105263158
18,1024,0.0001,128,MCN,22016.0,74753,0.18366015,157622.9,148256.33,0.8244107744107744,0.3121381886087768,0.7674185463659148,0.6322055137844611
19,1024,0.0001,128,SCARF,91136.0,74753,0.15852663,161809.33,148215.1,,,,
20,1024,0.0001,128,SUBTAB,41984.0,74753,0.18309093,159907.3,148085.38,,,,
21,1024,0.0002,32,CLIP,2241.0,6401,0.18686399,165061.1,148762.61,1.0,0.3160597572362278,0.9964912280701754,0.9473684210526316
22,1024,0.0002,32,CONTROL,,6401,,,148463.56,,,,
23,1024,0.0002,32,GMC,104224.0,33761,0.20416898,164287.16,148382.88,1.0,0.3368814192343604,0.9964912280701754,0.986842105263158
24,1024,0.0002,32,ICEH,46113.0,50273,0.1859562,163357.83,148029.89,1.0,0.2756302521008403,0.9964912280701754,0.986842105263158
25,1024,0.0002,32,MCN,5504.0,6401,0.20787811,160269.88,148501.67,0.942929292929293,0.3951213818860877,0.8626566416040101,0.8765664160401002
26,1024,0.0002,32,SCARF,7424.0,6401,0.21760105,163964.56,148443.06,,,,
27,1024,0.0002,32,SUBTAB,4352.0,6401,0.13559024,163599.05,148425.55,,,,
28,1024,0.0002,64,CLIP,4481.0,20993,0.17043525,158391.69,148259.5,1.0,0.3198646125116713,0.9964912280701754,0.986842105263158
29,1024,0.0002,64,CONTROL,,20993,,,147909.52,,,,
30,1024,0.0002,64,GMC,108352.0,50241,0.20024106,160876.86,148572.34,1.0,0.2584500466853408,0.9964912280701754,0.986842105263158
31,1024,0.0002,64,ICEH,50241.0,66753,0.19375455,164035.38,147867.42,1.0,0.3315359477124183,0.9964912280701754,0.986842105263158
32,1024,0.0002,64,MCN,11008.0,20993,0.18297213,160517.12,148024.52,0.977777777777778,0.2375350140056022,0.8999999999999999,0.9692982456140352
33,1024,0.0002,64,SCARF,25088.0,20993,0.26969507,162701.5,147872.78,,,,
34,1024,0.0002,64,SUBTAB,12800.0,20993,0.13956681,163424.9,148300.81,,,,
