,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,KWG,KWI,STRM,STRN,SA,SB,Run2,Run3,Run4
0,4096,0.0001,32,CLIP,3745.0,13025,0.8316215,0.00035284722,0.002715681,0.5522825288932324,0.496207452243855,0.5000091576200705,0.4932326382519008,0.583171329807664,0.4983687183842262,5841466.5,4736844.0,6325283.0
1,4096,0.0001,32,CONTROL,,13025,,,0.0021211572,,,,,,,,,
2,4096,0.0001,32,GMC,271904.0,81761,0.73423326,0.0004615798,0.00048577721,0.5717407899023197,0.5266369348920313,0.5335399312115029,0.4979378571380038,0.5958932844860696,0.5657002547723664,62827.12890625,70041.8125,68352.96875
3,4096,0.0001,32,ICEH,88993.0,98273,0.8263602,0.00033278528,0.0004761107,0.5006527415143603,0.5,0.5016616649321346,0.5021131019113041,0.5,0.5,9027.205078125,14432.8330078125,24043.8125
4,4096,0.0001,32,MCN,16832.0,13025,0.83253086,0.00033232794,0.003134265,0.4924454590097777,0.5051258005733223,0.4984916513522702,0.5046270816771642,0.4941146925872307,0.4956710851825868,557395.125,261418.1875,92926.5703125
5,4096,0.0001,32,SCARF,14048.0,13025,0.7797754,0.00044756985,0.0022753803,,,,,,,,,
6,4096,0.0001,32,SUBTAB,7904.0,13025,0.8330394,0.00031006814,0.004736953,,,,,,,,,
7,4096,0.0001,64,CLIP,13633.0,50625,0.7941026,0.00047052285,0.0011235639,0.5543191553500494,0.5031972610298253,0.5436096207002389,0.5,0.5770393240168996,0.499995569176236,195296.21875,68573.890625,17990.52734375
8,4096,0.0001,64,CONTROL,,50625,,,0.013416638,,,,,,,,,
9,4096,0.0001,64,GMC,276032.0,113601,0.69633013,0.0004704178,0.00045194698,0.5659809841932018,0.5252432949579126,0.5361149948938884,0.4984984066803917,0.5792537004756699,0.5376265554037588,91661.7265625,91320.3203125,89352.203125
10,4096,0.0001,64,ICEH,93121.0,130113,0.8353817,0.00031914108,0.00041598326,0.5027981582235707,0.5495263163503448,0.5300569338101992,0.5012739762326994,0.6403772860223949,0.5541638666322047,129424.46875,213313.453125,240294.578125
11,4096,0.0001,64,MCN,39808.0,50625,0.8341231,0.00031252863,0.0054710405,0.4996736292428198,0.5063172620717991,0.4996879023998577,0.5058534961305095,0.5,0.494240667577447,111239.125,143822.75,118466.3671875
12,4096,0.0001,64,SCARF,54720.0,50625,0.7282967,0.0004747082,0.0010341088,,,,,,,,,
13,4096,0.0001,64,SUBTAB,30144.0,50625,0.8340256,0.00032469668,0.0049274936,,,,,,,,,
14,4096,0.0001,128,CLIP,51841.0,199553,0.7741814,0.00047880656,0.00047705133,0.5400050323088816,0.5003383454640394,0.5441522835411867,0.5,0.5,0.5168511612450615,34081.8984375,239529.203125,63932.57421875
15,4096,0.0001,128,CONTROL,,199553,,,0.0018016342,,,,,,,,,
