,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,isns,northing,easting,resistivity
0,1024,0.0001,32,CLIP,3425.0,7585,0.9055354,4.375471871753588e-05,0.0028911036206408502,0.5729949864855476,0.17613407224416724,0.14048143848776812,0.11567476019263265
1,1024,0.0001,32,CONTROL,,7585,,,0.00010494954403836896,,,,
2,1024,0.0001,32,GMC,171968.0,59905,0.428441405,9.882859740172791e-05,8.940086627260258e-05,0.5,0.1169806346297264,0.06680873408913605,0.0255224267020821
3,1024,0.0001,32,ICEH,87713.0,91873,0.5520665499999999,0.0001050113205564736,2.8170894438516812e-05,0.5,0.15348526090383519,0.21488203853368754,0.0298597272485494
4,1024,0.0001,32,MCN,4448.0,7585,0.924671165,4.3849839130415794e-05,0.00013312917508299813,0.49546083963701487,0.15458643436431874,0.316568061709404,0.16673507541418076
5,1024,0.0001,32,SCARF,145216.0,137953,0.9776287,2.9772235393465342e-05,1.8162739252147534e-05,,,,
6,1024,0.0001,32,SUBTAB,56800.0,56833,0.3063717,0.01791335141751905,0.05870242603123185,,,,
7,1024,0.0001,64,CLIP,12993.0,29505,0.893214415,4.8225310820270516e-05,3.786398610827672e-05,0.5902052172579868,0.12766563892364502,0.1181733459234237,0.0557866934686899
8,1024,0.0001,64,CONTROL,,29505,,,4.715351860795561e-05,,,,
9,1024,0.0001,64,GMC,179200.0,79489,0.46940927,0.0001311690430156,3.729664422280546e-05,0.5,0.1151330098509788,0.07230700552463526,0.0251163644716143
10,1024,0.0001,64,ICEH,91841.0,108353,0.506003765,9.867005428529916e-05,2.3276168576557646e-05,0.5239909447593158,0.22674386948347086,0.07306873053312296,0.03164328727871175
11,1024,0.0001,64,MCN,15040.0,29505,0.8786196,8.039665226530212e-05,5.4556705435969836e-05,0.560501025484901,0.2429007738828658,0.1794005185365676,0.15959677100181574
12,1024,0.0001,64,SCARF,157568.0,145217,0.9773154799999999,4.0330432057089306e-05,1.6676291124894764e-05,,,,
13,1024,0.0001,64,SUBTAB,67136.0,67201,0.68115522,0.00015632612667103435,0.0573156606405973,,,,
14,1024,0.0001,128,CLIP,50561.0,116353,0.8792383500000001,4.805620665138069e-05,2.3429666725860175e-05,0.617881186494829,0.12497784197330464,0.11918024718761434,0.053407507017254746
15,1024,0.0001,128,CONTROL,,116353,,,2.0577211216731998e-05,,,,
16,1024,0.0001,128,GMC,199808.0,149377,0.53772685,0.00012177338066974574,1.6087503354356077e-05,0.5,0.10178662836551661,0.06315478496253485,0.02400147542357435
17,1024,0.0001,128,ICEH,100097.0,165889,0.659469975,0.00018396002997175,1.543725738883884e-05,0.5064017051340334,0.16454787179827685,0.07681081816554064,0.0285094724968075
18,1024,0.0001,128,MCN,54656.0,116353,0.85336355,9.768716699908706e-05,1.947562941495516e-05,0.6097340376680692,0.16762197762727735,0.14453770220279683,0.0923014990985393
19,1024,0.0001,128,SCARF,182272.0,165889,0.81044385,0.00021620537836496685,1.6750175745982356e-05,,,,
20,1024,0.0001,128,SUBTAB,100096.0,100225,0.67982505,0.029196479732490753,0.00086548607214345,,,,
