,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,latitude,longitude
0,512,0.0001,128,CLIP,25718697.0,25775200,0.63606757,0.8700856519633476,0.2846885073918175,1719.58056640625,7797.56005859375
1,512,0.0001,128,CONTROL,,25775200,,,0.2913114709998786,,
2,512,0.0001,128,GMC,54309072.0,26981728,0.38364038,0.4089846168073971,0.2690868718156148,665.8696899414062,4263.6669921875
3,512,0.0001,128,ICEH,27187881.0,27244384,0.62162936,0.8884817414213979,0.3427648122160329,1603.5689697265625,8134.3046875
4,512,0.0001,128,MCN,25725224.0,25775200,0.6812559,0.907890762057331,0.3028866690799564,1338.0435791015625,21431.4765625
5,512,0.0001,128,SCARF,25784488.0,25775200,0.2510361,0.2873064165343121,0.2629379939994958,,
6,512,0.0001,128,SUBTAB,25751720.0,25775200,0.65202886,0.8839743688336681,0.1869851951865238,,
7,512,0.0001,256,CLIP,25945897.0,26157152,0.64381915,0.8728999372974665,0.3455643241128085,2236.6669921875,9156.0009765625
8,512,0.0001,256,CONTROL,,26157152,,,0.3436599278522386,,
9,512,0.0001,256,GMC,54374736.0,27202144,0.40633947,0.36961618335966,0.2721011711261648,593.6871337890625,3582.966552734375
10,512,0.0001,256,ICEH,27253545.0,27464800,0.688131,0.8849786402628129,0.3603993891797127,1677.963623046875,8134.3046875
11,512,0.0001,256,MCN,25958952.0,26157152,0.6745134,0.9030884875099215,0.3974693540885043,1122.0526123046875,6729.26318359375
12,512,0.0001,256,SCARF,26208552.0,26157152,0.28830868,0.3097985440335619,0.3619385957359689,,
13,512,0.0001,256,SUBTAB,26077480.0,26157152,0.6629905,0.8951989986724284,0.30615728797575,,
14,512,0.0001,512,CLIP,26596905.0,27412576,0.6715303,0.878888408677628,0.3980860277431493,2529.114013671875,8129.11669921875
15,512,0.0001,512,CONTROL,,27412576,,,0.3762910820809946,,
16,512,0.0001,512,GMC,54506064.0,27937888,0.38242242,0.3730002454430823,0.2260954282092744,680.3770751953125,4546.18701171875
17,512,0.0001,512,ICEH,27384873.0,28200544,0.65927434,0.8838811003009587,0.3510959785375639,1559.7220458984375,8134.3046875
18,512,0.0001,512,MCN,26623016.0,27412576,0.68049955,0.9047486746761132,0.3776652762003959,1087.4947509765625,4421.669921875
19,512,0.0001,512,SCARF,27646504.0,27412576,0.28702804,0.4228250543386723,0.3912594611457666,,
20,512,0.0001,512,SUBTAB,27122216.0,27412576,0.6537662,0.8897142729875761,0.3086593628587614,,
21,512,0.00025,128,CLIP,25718697.0,25775200,0.646159,0.8726683881080446,0.3258170540920418,2065.27685546875,6848.2607421875
22,512,0.00025,128,CONTROL,,25775200,,,0.3411046568208049,,
23,512,0.00025,128,GMC,54309072.0,26981728,0.46316656,0.4712804497984383,0.2279587858708693,813.7586669921875,5253.876953125
24,512,0.00025,128,ICEH,27187881.0,27244384,0.6589447,0.8924172237771157,0.3657184443392461,1705.4102783203125,8126.54248046875
25,512,0.00025,128,MCN,25725224.0,25775200,0.66654074,0.903822517499956,0.3557441789233699,1278.675537109375,7468.6640625
26,512,0.00025,128,SCARF,25784488.0,25775200,0.3382932,0.2626702576639294,0.388333706595443,,
27,512,0.00025,128,SUBTAB,25751720.0,25775200,0.69432324,0.8995591151346413,0.240997132081751,,
28,512,0.00025,256,CLIP,25945897.0,26157152,0.68212235,0.8832999445623783,0.4115495817616784,1602.6810302734375,12625.998046875
29,512,0.00025,256,CONTROL,,26157152,,,0.3794374256481369,,
30,512,0.00025,256,GMC,54374736.0,27202144,0.49836883,0.5246193450672554,0.2332503376428414,808.2223510742188,4177.15625
31,512,0.00025,256,ICEH,27253545.0,27464800,0.61663616,0.8856015166366827,0.4092765445131199,1705.4102783203125,8028.9228515625
32,512,0.00025,256,MCN,25958952.0,26157152,0.6896478,0.9042250824987942,0.4435218444186358,1492.835693359375,10225.021484375
33,512,0.00025,256,SCARF,26208552.0,26157152,0.26604772,0.3451997725980354,0.4568599940750013,,
34,512,0.00025,256,SUBTAB,26077480.0,26157152,0.6792931,0.8710880665508106,0.2824932445367696,,
35,512,0.00025,512,CLIP,26596905.0,27412576,0.66994494,0.8938913693607358,0.3999288064374656,2798.75146484375,7923.88720703125
36,512,0.00025,512,CONTROL,,27412576,,,0.3934685917044258,,
37,512,0.00025,512,GMC,54506064.0,27937888,0.4412015,0.4559361641458742,0.2872838407818169,789.409423828125,3877.5654296875
38,512,0.00025,512,ICEH,27384873.0,28200544,0.6356133,0.8948007529463592,0.4003415667080632,1593.2926025390625,8134.3046875
39,512,0.00025,512,MCN,26623016.0,27412576,0.6854047,0.9019650078150132,0.4494868848986261,1483.4095458984375,10048.1298828125
40,512,0.00025,512,SCARF,27646504.0,27412576,0.28947148,0.4256091885964382,0.3931210354464691,,
41,512,0.00025,512,SUBTAB,27122216.0,27412576,0.6247591,0.8920049477993975,0.3127957972608674,,
42,512,0.0005,128,CLIP,25718697.0,25775200,0.6878236,0.8547525378758046,0.4312460628619217,1904.3392333984373,7556.5869140625
43,512,0.0005,128,CONTROL,,25775200,,,0.4297781217128694,,
44,512,0.0005,128,GMC,54309072.0,26981728,0.48737526,0.5707829649057411,0.3239163098948577,495.31439208984375,5012.60888671875
45,512,0.0005,128,ICEH,27187881.0,27244384,0.6406249,0.8431052751696636,0.3425562560053791,1337.69384765625,8020.66943359375
46,512,0.0005,128,MCN,25725224.0,25775200,0.68877774,0.9032388506854948,0.4200711761987638,1282.4346923828125,15570.369140625
47,512,0.0005,128,SCARF,25784488.0,25775200,0.26983106,0.2556913114932956,0.4718234695453319,,
48,512,0.0005,128,SUBTAB,25751720.0,25775200,0.6767376,0.8917419393479493,0.3275799675658569,,
49,512,0.0005,256,CLIP,25945897.0,26157152,0.6819906,0.895344125069496,0.4418078499992867,2362.8251953125,8145.7734375
50,512,0.0005,256,CONTROL,,26157152,,,0.4682035639069259,,
51,512,0.0005,256,GMC,54374736.0,27202144,0.5483116,0.6181829160595024,0.3940020886571651,510.9988708496094,4230.94921875
52,512,0.0005,256,ICEH,27253545.0,27464800,0.6468339,0.8855700145947196,0.3897566306534537,1997.6451416015625,8134.3046875
53,512,0.0005,256,MCN,25958952.0,26157152,0.66945535,0.9048145809920196,0.4485948780843217,855.9631958007812,6889.8671875
54,512,0.0005,256,SCARF,26208552.0,26157152,0.31186804,0.2651122752221542,0.4557183463274161,,
55,512,0.0005,256,SUBTAB,26077480.0,26157152,0.5963222,0.9011890271328854,0.3694125638663612,,
56,512,0.0005,512,CLIP,26596905.0,27412576,0.6802555,0.9006229470979525,0.4695027254994756,2382.205322265625,10015.54296875
57,512,0.0005,512,CONTROL,,27412576,,,0.4900199387301989,,
58,512,0.0005,512,GMC,54506064.0,27937888,0.49547693,0.6530176204400953,0.459537149758163,582.5471801757812,4796.06494140625
59,512,0.0005,512,ICEH,27384873.0,28200544,0.6509203,0.8912823563879577,0.362281781193002,1625.49072265625,8028.9228515625
60,512,0.0005,512,MCN,26623016.0,27412576,0.70048165,0.8995809935685825,0.5125377105725326,779.1923828125,7123.916015625
61,512,0.0005,512,SCARF,27646504.0,27412576,0.46878785,0.6902949187721045,0.5604693463436409,,
62,512,0.0005,512,SUBTAB,27122216.0,27412576,0.71481955,0.8977183187390986,0.3867118044049273,,
63,512,0.00075,128,CLIP,25718697.0,25775200,0.6659252,0.8857917822985769,0.3991945838052962,1359.4642333984375,8348.642578125
64,512,0.00075,128,CONTROL,,25775200,,,0.4712389896725102,,
65,512,0.00075,128,GMC,54309072.0,26981728,0.6690888,0.6779773050953144,0.4023821281184245,893.2147216796875,3844.533203125
66,512,0.00075,128,ICEH,27187881.0,27244384,0.66648877,0.8041389193476698,0.3215949773457632,1127.8541259765625,7934.68359375
67,512,0.00075,128,MCN,25725224.0,25775200,0.64942354,0.9010405850155906,0.4905691630672466,817.1107177734375,4779.30419921875
68,512,0.00075,128,SCARF,25784488.0,25775200,0.37937048,0.4791778822575664,0.4767101174219878,,
69,512,0.00075,128,SUBTAB,25751720.0,25775200,0.6374436,0.9061899417423802,0.3622101978592437,,
70,512,0.00075,256,CLIP,25945897.0,26157152,0.6733694,0.8960816472590858,0.4291248535554438,1431.460693359375,6076.2529296875
71,512,0.00075,256,CONTROL,,26157152,,,0.4691685427304093,,
72,512,0.00075,256,GMC,54374736.0,27202144,0.5233946,0.6264661494053281,0.4888885091035336,418.02239990234375,3376.318115234375
73,512,0.00075,256,ICEH,27253545.0,27464800,0.63259625,0.8022504402443695,0.4194831250854736,1293.159912109375,8099.96630859375
74,512,0.00075,256,MCN,25958952.0,26157152,0.6768672,0.8946644233375712,0.4812731234883323,1396.245849609375,5612.6015625
75,512,0.00075,256,SCARF,26208552.0,26157152,0.4615953,0.5298472470476944,0.542296575580335,,
76,512,0.00075,256,SUBTAB,26077480.0,26157152,0.5893231,0.90412967428889,0.2751966408467347,,
77,512,0.00075,512,CLIP,26596905.0,27412576,0.67803836,0.8934756476187202,0.4635510578539047,1832.226318359375,9439.6328125
78,512,0.00075,512,CONTROL,,27412576,,,0.488144366852065,,
79,512,0.00075,512,GMC,54506064.0,27937888,0.407015,0.6556010600368742,0.5779746906936519,610.3077392578125,4006.7568359375
80,512,0.00075,512,ICEH,27384873.0,28200544,0.6508035,0.8601355413710818,0.4502152687011188,1080.123779296875,7920.0908203125
81,512,0.00075,512,MCN,26623016.0,27412576,0.68392503,0.8912176800377486,0.4994004710401311,1198.0894775390625,7811.38037109375
82,512,0.00075,512,SCARF,27646504.0,27412576,0.5382196,0.7899677137280742,0.5547816351697231,,
83,512,0.00075,512,SUBTAB,27122216.0,27412576,0.65190995,0.8958051838372418,0.4326121430458057,,
84,512,0.001,128,CLIP,25718697.0,25775200,0.67675173,0.8639166059980052,0.486630770761515,1877.1419677734373,6323.7001953125
85,512,0.001,128,CONTROL,,25775200,,,0.4804237442161624,,
86,512,0.001,128,GMC,54309072.0,26981728,0.64064795,0.7946217616087148,0.5755859241373723,549.810302734375,3684.39013671875
87,512,0.001,128,ICEH,27187881.0,27244384,0.61714435,0.7793258943005924,0.3986825872062964,2516.841552734375,8522.646484375
88,512,0.001,128,MCN,25725224.0,25775200,0.67734784,0.8878179706683414,0.4939379929280102,684.5396118164062,11740.515625
89,512,0.001,128,SCARF,25784488.0,25775200,0.31225455,0.5410966521871169,0.5952861623888028,,
90,512,0.001,128,SUBTAB,25751720.0,25775200,0.6664254,0.8831797517444082,0.3010964810008673,,
91,512,0.001,256,CLIP,25945897.0,26157152,0.61710536,0.8899367586458479,0.5277112671022802,2612.497802734375,7633.33251953125
92,512,0.001,256,CONTROL,,26157152,,,0.4983007079256612,,
93,512,0.001,256,GMC,54374736.0,27202144,0.60117114,0.7139717967060234,0.5064213158515608,436.1857299804688,4396.47021484375
94,512,0.001,256,ICEH,27253545.0,27464800,0.6977473,0.8755390277617785,0.5189564421065612,4638.7978515625,7971.70263671875
95,512,0.001,256,MCN,25958952.0,26157152,0.6463976,0.8533414678733342,0.5005602155416568,1938.3858642578125,14962.0185546875
96,512,0.001,256,SCARF,26208552.0,26157152,0.53674966,0.7793851397996355,0.6706232983126598,,
97,512,0.001,256,SUBTAB,26077480.0,26157152,0.590192,0.9018183622349312,0.3087980871258297,,
