,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Hour,Month,DayofWeek,Environment_Type,Altitude_m,PM_sub_2_5_sub_particulate_matter_Hourly_measured
0,4096,0.0001,32,CLIP,3745.0,9953,0.5495556,0.27393538,0.15677965,0.043308164532728,0.1072153497713954,0.1470560324249174,0.3989063720157663,18495.59375,1214.283203125
1,4096,0.0001,32,CONTROL,,9953,,,0.15338844,,,,,,
2,4096,0.0001,32,GMC,198176.0,66401,0.09001608,0.22409853,0.15489225,0.0438977001772107,0.1308471592369601,0.1737195309220055,0.3000807168812306,2075.6318359375,97.63453674316406
3,4096,0.0001,32,ICEH,76705.0,82913,0.34705853,0.1626318,0.15332153,0.0472425301970756,0.1167747465170731,0.1490923878607483,0.3270727545159411,2872.5498046875,5071.521484375
4,4096,0.0001,32,MCN,16832.0,9953,0.19885552,0.2267012,0.158455,0.0519408684621388,0.0827116532402257,0.1343098953116264,0.2931372507563456,9026.318359375,1038.8076171875
5,4096,0.0001,32,SCARF,10976.0,9953,0.10089719,0.2967471,0.15622298,,,,,,
6,4096,0.0001,32,SUBTAB,5856.0,9953,0.82486624,0.21024086,0.15849528,,,,,,
7,4096,0.0001,64,CLIP,11585.0,36289,0.104789704,0.28371438,0.14959787,0.0465263622788746,0.1308890518309411,0.1650669222467093,0.4570339445799843,3597.66455078125,1294.8817138671875
8,4096,0.0001,64,CONTROL,,36289,,,0.15070057,,,,,,
9,4096,0.0001,64,GMC,202304.0,89025,0.094671205,0.23011525,0.151861,0.0508197393198436,0.1292500660217702,0.172709555053801,0.3059588843912745,2247.316162109375,95.0865249633789
10,4096,0.0001,64,ICEH,80833.0,105537,0.54489833,0.1636003,0.15155259,0.0474651271463414,0.1250369343135749,0.1480542362336015,0.3262195121951219,2473.574462890625,1321.50732421875
11,4096,0.0001,64,MCN,37760.0,36289,0.79327023,0.18477353,0.15458237,0.0412548426727562,0.0910425583730051,0.1377490396634458,0.360266593282385,6531.28271484375,291.1080627441406
12,4096,0.0001,64,SCARF,40384.0,36289,0.096602775,0.2676522,0.14704701,,,,,,
13,4096,0.0001,64,SUBTAB,19904.0,36289,0.5618116,0.17607549,0.14886405,,,,,,
14,4096,0.0001,128,CLIP,39553.0,138113,0.09847486,0.2874299,0.14553401,0.0487001734265469,0.1378185503143223,0.1618016896056471,0.4818021947426308,3714.62890625,1215.5255126953125
15,4096,0.0001,128,CONTROL,,138113,,,0.14834361,,,,,,
16,4096,0.0001,128,GMC,210560.0,171137,0.07435225,0.22784546,0.15319711,0.0530952466500951,0.1346849355927706,0.1701032115632706,0.2965586338650813,2107.74267578125,93.83092498779295
17,4096,0.0001,128,ICEH,89089.0,187649,0.2524821,0.16109653,0.15246768,0.046146788381788,0.1323788291549956,0.1726234053035286,0.6127927187942435,3028.669921875,672.7149047851562
