,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,c,x,y
0,16,0.001,2,CLIP,25,,,,,0.4666666666666666,0.16187999844551085,0.14359894171357152
1,16,0.001,2,GMC,210,,,,,0.4833333333333333,0.25204215645790096,0.1588033147156238
2,16,0.001,2,ICEH,115,,,,,0.65,0.129281866364181,0.049733380545512726
3,16,0.001,2,MCN,28,,,,,0.6333333333333333,0.21580094099044794,0.1630059644579887
4,16,0.001,3,CLIP,43,,,,,0.36666666666666664,0.21963385045528408,0.1402903757989406
5,16,0.001,3,GMC,215,,,,,0.45,0.18426304459571835,0.11653901115059848
6,16,0.001,3,ICEH,120,,,,,0.6833333333333333,0.09995740037411446,0.04269012990989719
7,16,0.001,3,MCN,48,,,,,0.7333333333333333,0.17890415489673606,0.1476402424275875
8,16,0.001,4,CLIP,65,,,,,0.6166666666666666,0.24663464725017548,0.16283440813422204
9,16,0.001,4,GMC,220,,,,,0.6333333333333333,0.22266673743724824,0.12122509032487865
10,16,0.001,4,ICEH,125,,,,,0.7,0.16220523146912452,0.07233372759073968
11,16,0.001,4,MCN,72,,,,,0.36666666666666664,0.2320959717035293,0.14380641132593153
12,16,0.002,2,CLIP,25,,,,,0.4666666666666666,0.22837900519371032,0.14786122888326642
13,16,0.002,2,GMC,210,,,,,0.55,0.23576266765594478,0.12444983646273608
14,16,0.002,2,ICEH,115,,,,,0.6,0.1470385266235098,0.11663216315209861
15,16,0.002,2,MCN,28,,,,,0.55,0.24238491654396052,0.11736967191100119
16,16,0.002,3,CLIP,43,,,,,0.5833333333333333,0.25423832237720484,0.13122146129608153
17,16,0.002,3,GMC,215,,,,,0.6833333333333333,0.2064203932881355,0.12190828770399094
18,16,0.002,3,ICEH,120,,,,,0.7,0.18497896408662198,0.09622452590265307
19,16,0.002,3,MCN,48,,,,,0.45,0.22228948175907134,0.15312694683670994
20,16,0.002,4,CLIP,65,,,,,0.6166666666666666,0.25297885239124296,0.1233340539038181
21,16,0.002,4,GMC,220,,,,,0.5,0.24069874882698056,0.14630033224821087
22,16,0.002,4,ICEH,125,,,,,0.8,0.11195876300334925,0.09978603380732234
23,16,0.002,4,MCN,72,,,,,0.5833333333333333,0.3386877596378326,0.1806706234812736
24,16,0.003,2,CLIP,25,,,,,0.5333333333333333,0.2505263924598694,0.16300596296787256
25,16,0.003,2,GMC,210,,,,,0.39999999999999997,0.25530097335577007,0.11619949303567405
26,16,0.003,2,ICEH,115,,,,,0.8333333333333333,0.06707691792398687,0.01666566302883434
27,16,0.003,2,MCN,28,,,,,0.5666666666666667,0.2483640968799591,0.18310468196868893
28,16,0.003,3,CLIP,43,,,,,0.5166666666666666,0.2488124281167984,0.14278202056884762
29,16,0.003,3,GMC,215,,,,,0.3833333333333333,0.19802266061305998,0.15494271591305728
30,16,0.003,3,ICEH,120,,,,,0.6833333333333333,0.0556586128517665,0.05965874803514446
31,16,0.003,3,MCN,48,,,,,0.5666666666666667,0.2527428179979324,0.18253216147422785
32,16,0.003,4,CLIP,65,,,,,0.75,0.2705563306808471,0.10591341033577917
33,16,0.003,4,GMC,220,,,,,0.4333333333333333,0.2556937217712402,0.14850775301456448
34,16,0.003,4,ICEH,125,,,,,0.8333333333333333,0.15254649878479537,0.09400130882859227
35,16,0.003,4,MCN,72,,,,,0.55,0.2283879339694977,0.1531407997012138
36,16,0.005,2,CLIP,25,,,,,0.45,0.21313141584396358,0.14780007600784298
37,16,0.005,2,GMC,210,,,,,0.4666666666666666,0.28124135434627534,0.09976433590054508
38,16,0.005,2,ICEH,115,,,,,0.9,0.00823772856965656,0.00590172115043964
39,16,0.005,2,MCN,28,,,,,0.36666666666666664,0.21956361234188077,0.15837079286575312
40,16,0.005,3,CLIP,43,,,,,0.5166666666666666,0.2733999311923981,0.16896182969212528
41,16,0.005,3,GMC,215,,,,,0.55,0.18055615574121472,0.10940541625022886
42,16,0.005,3,ICEH,120,,,,,0.9,0.024911460746079642,0.0254221535593387
43,16,0.005,3,MCN,48,,,,,0.5,0.22255677878856656,0.13302822485566135
44,16,0.005,4,CLIP,65,,,,,0.7,0.27975036948919296,0.15684286803007122
45,16,0.005,4,GMC,220,,,,,0.55,0.2133366227149963,0.12828099429607387
46,16,0.005,4,ICEH,125,,,,,0.75,0.02291379983071232,0.049321987027360556
47,16,0.005,4,MCN,72,,,,,0.5166666666666666,0.24724435508251186,0.12357545867562289
48,16,0.01,2,CLIP,25,,,,,0.3833333333333333,0.2502481073141098,0.1589433148503303
49,16,0.01,2,GMC,210,,,,,0.4833333333333333,0.2513763442635536,0.14246929958462712
50,16,0.01,2,ICEH,115,,,,,0.8333333333333333,0.07410658309236166,0.032067503345024256
51,16,0.01,2,MCN,28,,,,,0.5,0.18132860660552974,0.17196144759654994
52,16,0.01,3,CLIP,43,,,,,0.45,0.185090884566307,0.14710428789258
53,16,0.01,3,GMC,215,,,,,0.36666666666666664,0.23720886409282685,0.17167677432298656
54,16,0.01,3,ICEH,120,,,,,0.7666666666666666,0.11391488006338475,0.08234272846602833
55,16,0.01,3,MCN,48,,,,,0.5,0.21619373559951782,0.14405316561460493
56,16,0.01,4,CLIP,65,,,,,0.5833333333333333,0.26330501139163964,0.17268916219472882
57,16,0.01,4,GMC,220,,,,,0.4166666666666667,0.27068364396691325,0.15022764708846803
58,16,0.01,4,ICEH,125,,,,,0.85,0.0649008526932448,0.06251453371369277
59,16,0.01,4,MCN,72,,,,,0.45,0.2501986056566238,0.16274307072162625
60,16,0.02,2,CLIP,25,,,,,0.4166666666666667,0.2409543007612228,0.15837079435586926
61,16,0.02,2,GMC,210,,,,,0.4833333333333333,0.17068499177694313,0.17097800672054286
62,16,0.02,2,ICEH,115,,,,,0.75,0.13981266394257544,0.09519632505252953
63,16,0.02,2,MCN,28,,,,,0.5,0.24534255117177958,0.13696646988391872
64,16,0.02,3,CLIP,43,,,,,0.4833333333333333,0.28023054301738737,0.12801098525524135
65,16,0.02,3,GMC,215,,,,,0.36666666666666664,0.2098357379436493,0.13064942508935923
66,16,0.02,3,ICEH,120,,,,,0.6,0.20400587525218722,0.14011121615767477
67,16,0.02,3,MCN,48,,,,,0.5,0.18805701136589048,0.14220950156450268
68,16,0.02,4,CLIP,65,,,,,0.4833333333333333,0.142844723816961,0.1562855631113052
69,16,0.02,4,GMC,220,,,,,0.4333333333333333,0.2186930611729622,0.10832535773515697
70,16,0.02,4,ICEH,125,,,,,0.6333333333333333,0.16828924436122178,0.08646388892084356
71,16,0.02,4,MCN,72,,,,,0.4833333333333333,0.31170519888401027,0.15231002569198604
72,16,0.03,2,CLIP,25,,,,,0.5166666666666666,0.18805701136589048,0.11821830123662944
73,16,0.03,2,GMC,210,,,,,0.55,0.19140969812870023,0.14088962674140926
74,16,0.03,2,ICEH,115,,,,,0.65,0.16853638775646687,0.0981841085478663
75,16,0.03,2,MCN,28,,,,,0.5,0.23578927516937256,0.1739234067499637
76,16,0.03,3,CLIP,43,,,,,0.4333333333333333,0.2591123849153519,0.16847131997346873
77,16,0.03,3,GMC,215,,,,,0.45,0.22699142694473268,0.1671550706028938
